City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,whitecourt,54.1502,-115.6855,-0.6,76,1,1.85,CA,1706670566
163,minas de marcona,-15.2119,-75.1103,18.79,82,100,5.01,PE,1706670535
164,greenville,35.6127,-77.3663,5.02,89,0,3.09,US,1706670336
165,jamaame,0.0697,42.745,25.14,86,99,3.51,SO,1706670579
166,pitrufquen,-38.9833,-72.65,11.08,96,15,0.67,CL,1706670582
167,fougeres,48.35,-1.2,3.92,85,100,0.56,FR,1706670585
168,malango,-2.9627,119.9001,26.09,82,81,1.11,ID,1706670586
169,kismayo,-0.3582,42.5454,26.16,85,94,5.37,SO,1706670587
170,bedesa,8.9,40.7833,16.39,92,100,2.16,ET,1706670588
171,constantia,44.1833,28.65,-4.62,78,29,3.12,RO,1706670544
172,veracruz,19.3333,-96.6667,15.84,84,99,0.06,MX,1706670531
173,san pedro pochutla,15.7333,-96.4667,22.15,73,4,1.83,MX,1706670599
174,ulverstone,-41.15,146.1667,25.96,41,8,5.22,AU,1706670602
175,hadibu,12.65,54.0333,23.73,78,91,1.45,YE,1706670603
176,remire-montjoly,4.9167,-52.2667,26.02,94,100,0.0,GF,1706670607
177,tvoroyri,61.5556,-6.8111,7.96,90,100,21.2,FO,1706670599
178,pemba,-12.974,40.5178,24.18,93,100,2.72,MZ,1706670613
179,kutum,14.2,24.6667,12.01,26,9,3.68,SD,1706670616
180,nanao,37.05,136.9667,11.77,52,95,3.82,JP,1706670618
181,muynoq,43.7683,59.0214,-4.12,77,100,5.72,UZ,1706670619
182,olinda,-8.0089,-34.8553,27.85,69,20,3.09,BR,1706670623
183,aykhal,66.0,111.5,-23.26,100,89,1.42,RU,1706670625
184,san patricio,28.017,-97.5169,14.91,64,100,2.71,US,1706670629
185,fengcheng,40.4536,124.0717,-5.59,71,23,5.38,CN,1706670632
186,dudinka,69.4058,86.1778,-17.99,84,100,9.39,RU,1706670545
187,vila franca do campo,37.7167,-25.4333,15.23,88,56,2.17,PT,1706670639
188,shengli,37.4564,118.4856,0.92,69,53,7.44,CN,1706670642
189,bamboo flat,11.7,92.7167,28.05,78,75,3.09,IN,1706670646
190,purpe,64.4803,76.6897,-23.76,96,9,6.22,RU,1706670648
191,chardara,41.2547,67.9692,0.22,58,100,2.21,KZ,1706670650
192,sao gabriel,-30.3364,-54.32,20.54,60,1,2.08,BR,1706670653
193,peniche,39.3558,-9.3811,14.96,85,100,4.44,PT,1706670656
194,vodice,43.7608,15.7828,4.98,57,4,1.94,HR,1706670659
195,menongue,-14.6585,17.691,16.83,96,100,0.47,AO,1706670662
196,dunedin,-45.8742,170.5036,17.99,74,67,3.69,NZ,1706670665
197,olonkinbyen,70.9221,-8.7187,-3.97,76,100,6.22,SJ,1706670670
198,teknaf,20.8624,92.3058,20.86,39,60,1.07,BD,1706670672
199,chinchilla,-26.75,150.6333,30.01,64,15,2.68,AU,1706670675
